code,year,tmin,tmax,tmean,domin,domax,domean,bodmin,bodmax,bodmean,phmin,phmax,phmean,cmin,cmax,cmean,nmin,nmax,nmean,fcmin,fcmax,fcmean,tcmin,tcmax,tcmean
1263,2003,16,28,22,6.6,8,7.3,2,2.5,2.3,7.1,8.3,7.5,215,257,232,,,,,,,,,
1263,2004,22,29,25,2.2,3.2,2.7,3.6,10.5,7.5,7.6,8.1,7.8,790,2210,1314,0.13,0.42,0.275,110000,110000,110000,2300,240000,81533
1263,2005,,,,0.8,1,0.9,7,64,38,6.5,7.2,6.867,1065,3030,2108.3,0.02,0.07,0.043,360,9300,4830,910,110000,55455
1263,2006,26,29,28,0.4,3.9,2.1,15,106,54.3,7.2,7.6,7.43,901,4240,3044,0.1,1,0.5,360,730,483,910,2000,1470
1263,2007,25,30,27,0,0,0,50,174,91.3,6.9,7.5,7.3,342,3770,1985,0.1,0.6,0.4,0,2000,787,1500,46000,20833
1263,2008,24,34,28.9,0,1.9,0.6,6,9,7.5,7,7.8,7.5,2560,4390,3168,0,0,0,280,300,290,900,900,900
1263,2009,25,32,28.3,0,1.3,0.8,0.8,1.2,1.1,6.3,7.4,7,1095,3220,2056,0.9,1,1,2,2,2,400,700,540
1263,2011,18,32,27.9,0.4,6.6,2.9,17,30,23.5,7,11.1,8.3,1136,2940,2172,0,0,0,350,350,350,900,900,900
1263,2012,28,38,32,0,5.2,2.3,25,46,35.5,8.5,12,10.1,1016,4510,2123,0,0,0,1600,1600,1600,1600,1600,1600
1263,2013,22,38,34,1.2,1.2,1.2,62,68,65,7.3,11.1,9.2,1337,6180,3764,0,0,0,1600,1600,1600,1600,1600,1600
1263,2014,22,38,31.5,0,2.8,1.5,9,12,10.5,6.7,10.5,8.6,1285,2980,2241,0,0,0,90,500,295,350,900,625
1285,2003,24,29,26,7,7.6,7.3,1.4,3.6,2.3,7.3,7.8,7.6,396,422,412,,,,70,110,90,500,900,667
1285,2004,18,31,26,4,5.9,4.7,0.5,4,1.8,7.5,8,7.8,420,940,667,0.14,0.16,0.147,7,20,12,23,210,87
1285,2005,20,20,20,5.46,6.72,6.09,2.2,2.48,2.34,8.14,8.43,8.285,680,680,680,0.08,0.14,0.11,11,28,20,28,210,119
1285,2006,20,20,20,6.8,6.8,6.8,3.3,3.3,3.3,8.3,8.3,8.3,,,,,,,9,9,9,93,93,93
1285,2007,19,30,26,3.6,9.4,6.4,1.4,2.7,2,8.2,8.6,8.5,520,730,588,0.32,0.72,0.56,4,9,7,20,150,55
1285,2008,21,31,28.3,5,6.4,5.7,14,170,103.8,8.1,9.7,8.6,500,770,623,29,96,76,20,280,76,180,3850,996
1285,2009,23,29,25.8,5.04,6.44,5.9,65,68,66.5,7.34,8.8,8.2,500,810,628,0,0,0,1600,1600,1600,1600,1600,1600
1285,2010,19,25,22,2.9,6.48,5,26,48,37,7.8,8.4,8.2,560,730,638,0,0,0,500,900,700,1600,1600,1600
1285,2011,17,24,22.7,5.2,6.4,5.9,1.2,1.2,1.2,7.2,8.7,8.2,460,740,633,2,2.59,2.36,3,4,4,1100,1100,1100
1285,2012,20,27,24,4.7,5.6,5.2,8,12,10,7,8.6,7.9,500,790,645,0,0,0,170,170,170,350,350,350
1285,2013,19,29,23.8,4.6,6.1,5.3,15,51,33,7.3,8.8,8.2,480,650,572,0,0,0,500,500,500,900,900,900
1285,2014,14,31,24.6,4.7,8.8,5.9,50,76,63,8.2,8.7,8.5,360,610,498,0,0,0,500,900,700,900,1600,1250
1286,2003,22,26,24,3,5.3,4.3,53,140,91,7.4,8.5,8,1661,6150,3684,10.4,10.4,10.4,14200,14200,14200,5120,48000,26560
1286,2004,19,28,24,3.8,6.8,5.3,3,3.7,3.4,8,8.2,8.1,118,2100,1109,0.14,0.32,0.23,23,28,26,1100,2400,1750
1286,2005,21,21,21,0.84,6.16,3.683,3.54,8.09,5.5,8.22,8.66,8.373,1540,1540,1540,0.16,0.22,0.18,20,28,23,210,1100,507
1286,2006,27,31,29,3.5,6.4,4.7,3,4.8,3.7,7.63,8.46,8.04,840,1280,1070,0.1,0.4,0.2,7,14,10.7,14,150,64
1286,2007,19,31,27,1,8.5,4.4,5,10.8,7.8,7.2,8.7,8.2,1270,1530,1448,0.14,3.6,1.24,4,14,11,28,2400,682
